"Column 1","Column 2","Column 3","Column 4","Column 5"
"F","BERNADINE","","",""
"M","BERNAL","","",""
"M","BERNARD","","",""
"F","BERNARDA","","",""
"F","BERNARDINA","","",""
"F","BERNARDINE","","",""
"M","BERNARDINO","","",""
"F","BERNARDITA","","",""
"M","BERNARDO","","",""
"M","BERND","","",""
"F","BERNEDA","","",""
"F","BERNEICE","","",""
"M","BERNELL","","",""
"M","BERNERD","","",""
"F","BERNETTA","","",""
"F","BERNETTE","","",""
"M","BERNHARD","","",""
"M","BERNHARDT","","",""
"F","BERNICE","","",""
"M","BERNIE","","",""
"F","BERNIECE","","",""
"F","BERNIS","","",""
"F","BERNITA","","",""
"M","BERNT","","",""
"F","BERRY","","",""
"M","BERT","","",""
"F","BERTA","","",""
"F","BERTHA","","",""
"M","BERTHOLD","","",""
"F","BERTIE","","",""
"M","BERTIL","","",""
"M","BERTIN","","",""
"F","BERTINA","","",""
"M","BERTIS","","",""
"M","BERTO","","",""
"M","BERTON","","",""
"M","BERTRAM","","",""
"M","BERTRAND","","",""
"M","BERTRUM","","",""
"F","BERYL","","",""
"F","BERYLE","","",""
"F","BESS","","",""
"F","BESSIE","","",""
"F","BETH","","",""
"F","BETH-ANN","","",""
"F","BETHANIE","","",""
"F","BETHANN","","",""
"F","BETHANNE","","",""
"F","BETHANY","","",""
"F","BETHEL","","",""
"F","BETINA","","",""
"F","BETSEY","","",""
"F","BETSY","","",""
"F","BETTE","","",""
"F","BETTI","","",""
"F","BETTIE","","",""
"F","BETTINA","","",""
"F","BETTY","","",""
"F","BETTY-ANN","","",""
"F","BETTY-JANE","","",""
"F","BETTY-JEAN","","",""
"F","BETTY-LOU","","",""
"F","BETTYANN","","",""
"F","BETTYANNE","","",""
"F","BETTYE","","",""
"F","BETTYJANE","","",""
"F","BETTYJEAN","","",""
"F","BETTYLOU","","",""
"F","BETZAIDA","","",""
"F","BEULAH","","",""
"F","BEV","","",""
"M","BEVAN","","",""
"F","BEVERLEE","","",""
"F","BEVERLEY","","",""
"F","BEVERLIE","","",""
"F","BEVERLY","","",""
"F","BEVERLYN","","",""
"M","BEVIN","","",""
"M","BHAGWAN","","",""
"M","BHANU","","",""
"M","BHARAT","","",""
"F","BHARATI","","",""
"F","BHARTI","","",""
"M","BHASKAR","","",""
"M","BHAVESH","","",""
"F","BHAVNA","","",""
"M","BHUPENDRA","","",""
"M","BHUPINDER","","",""
"M","BIAGIO","","",""
"F","BIANCA","","",""
"F","BIBI","","",""
"F","BIBIANA","","",""
"U","BICH","","",""
"F","BIENVENIDA","","",""
"M","BIENVENIDO","","",""
"M","BIFF","","",""
"M","BIJAN","","",""
"M","BIJU","","",""
"M","BILAL","","",""
"M","BILL","","",""
"F","BILLEE","","",""
"F","BILLI","","",""
"F","BILLIE","","",""
"M","BILLY","","",""
"F","BILLYE","","",""
"M","BIMAL","","",""
"M","BIN","","",""
"F","BINA","","",""
"F","BINDU","","",""
"M","BING","","",""
"M","BINH","","",""
"F","BINNIE","","",""
"M","BIPIN","","",""
"F","BIRDIE","","",""
"F","BIRGIT","","",""
"F","BIRGITTA","","",""
"M","BISHOP","","",""
"M","BJARNE","","",""
"M","BJORN","","",""
"M","BLAIN","","",""
"M","BLAINE","","",""
"F","BLAIR","","",""
"M","BLAISE","","",""
"M","BLAKE","","",""
"M","BLAKELY","","",""
"F","BLANCA","","",""
"F","BLANCH","","",""
"M","BLANCHARD","","",""
"F","BLANCHE","","",""
"F","BLANCHIE","","",""
"M","BLANCO","","",""
"M","BLAND","","",""
"M","BLANE","","",""
"M","BLANTON","","",""
"M","BLAS","","",""
"M","BLASE","","",""
"M","BLAYNE","","",""
"M","BLAZE","","",""
"F","BLENDA","","",""
"F","BLISS","","",""
"F","BLONDELL","","",""
"M","BLONG","","",""
"F","BLOSSOM","","",""
"F","BLYTHE","","",""
"M","BO","","",""
"M","BOAZ","","",""
"M","BOB","","",""
"F","BOBBE","","",""
"F","BOBBETTE","","",""
"F","BOBBI","","",""
"F","BOBBIE","","",""
"M","BOBBY","","",""
"F","BOBBYE","","",""
"F","BOBETTE","","",""
"F","BOBI","","",""
"M","BODO","","",""
"M","BOGDAN","","",""
"M","BOGUSLAW","","",""
"M","BOHDAN","","",""
"M","BOK","","",""
"M","BOLESLAW","","",""
"M","BOLIVAR","","",""
"M","BON","","",""
"M","BOND","","",""
"M","BONG","","",""
"F","BONI","","",""
"M","BONIFACE","","",""
"M","BONIFACIO","","",""
"F","BONITA","","",""
"F","BONNA","","",""
"F","BONNE","","",""
"M","BONNER","","",""
"F","BONNEY","","",""
"F","BONNI","","",""
"F","BONNIE","","",""
"F","BONNITA","","",""
"F","BONNY","","",""
"F","BONNYE","","",""
"M","BOOKER","","",""
"M","BOON","","",""
"M","BOONE","","",""
"M","BOOTH","","",""
"M","BORDEN","","",""
"M","BORIS","","",""
"M","BORISLAV","","",""
"M","BOSTON","","",""
"M","BOWEN","","",""
"M","BOWMAN","","",""
"M","BOYCE","","",""
"M","BOYD","","",""
"M","BOYDE","","",""
"F","BOZENA","","",""
"M","BRACK","","",""
"M","BRAD","","",""
"M","BRADD","","",""
"M","BRADEN","","",""
"M","BRADFORD","","",""
"M","BRADLEY","","",""
"M","BRADLY","","",""
"M","BRADY","","",""
"M","BRAHIM","","",""
"M","BRAIN","","",""
"M","BRAM","","",""
"M","BRANCH","","",""
"M","BRAND","","",""
"F","BRANDA","","",""
"M","BRANDAN","","",""
"F","BRANDE","","",""
"F","BRANDEE","","",""
"M","BRANDEN","","",""
"F","BRANDI","","",""
"F","BRANDIE","","",""
"M","BRANDON","","",""
"M","BRANDT","","",""
"F","BRANDY","","",""
"M","BRANISLAV","","",""
"M","BRANKO","","",""
"M","BRANNON","","",""
"M","BRANSON","","",""
"M","BRANT","","",""
"M","BRANTLEY","","",""
"M","BRAULIO","","",""
"M","BRAXTON","","",""
"F","BREA","","",""
"F","BREANA","","",""
"F","BREANN","","",""
"F","BREANNA","","",""
"F","BREANNE","","",""
"M","BRECK","","",""
"F","BREE","","",""
"F","BRENDA","","",""
"M","BRENDAN","","",""
"M","BRENDEN","","",""
"M","BRENDON","","",""
"F","BRENNA","","",""
"M","BRENNAN","","",""
"M","BRENT","","",""
"M","BRENTON","","",""
"M","BRET","","",""
"M","BRETT","","",""
"M","BREWSTER","","",""
"M","BRIAN","","",""
"F","BRIANA","","",""
"F","BRIANNA","","",""
"F","BRIANNE","","",""
"M","BRIANT","","",""
"M","BRICE","","",""
"F","BRIDGET","","",""
"F","BRIDGETT","","",""
"F","BRIDGETTE","","",""
"F","BRIDGIT","","",""
"F","BRIDIE","","",""
"F","BRIE","","",""
"M","BRIEN","","",""
"F","BRIGETTE","","",""
"M","BRIGGS","","",""
"M","BRIGHAM","","",""
"F","BRIGID","","",""
"F","BRIGIDA","","",""
"M","BRIGIDO","","",""
"F","BRIGIT","","",""
"F","BRIGITTA","","",""
"F","BRIGITTE","","",""
"M","BRIJ","","",""
