"Column 1","Column 2","Column 3","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10"
"LN_ID INIT FIRSTNAME LASTNAME","LN_ID[0]","","INIT[1]","","","","FIRSTNAME[2] LASTNAME[3]","","Parsed"
"FIRSTNAME LASTNAME SYMBOL LASTNAME","FIRSTNAME[0]","","","","","","LASTNAME[1] SYMBOL[2] LASTNAME[3]","","Parsed"
"LASTNAME WORD LASTNAME WORD","LASTNAME[0]","","WORD[1] LASTNAME[2]","","","","WORD[3]","","Parsed"
"SUFFIX WORD INIT WORD","SUFFIX[0] WORD[1]","","INIT[2]","","","","WORD[3]","","Parsed"
"PREFIX SUFFIX FIRSTNAME INIT LN_ID LASTNAME","SUFFIX[1] FIRSTNAME[2]","","INIT[3]","","PREFIX[0]","","LN_ID[4] LASTNAME[5]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME INIT FIRSTNAME LASTNAME","FIRSTNAME[1] FIRSTNAME[2]","","INIT[3]","","PREFIX[0]","","FIRSTNAME[4] LASTNAME[5]","","Parsed"
"WORD LASTNAME WORD FIRSTNAME","WORD[0]","","LASTNAME[1] WORD[2]","","","","FIRSTNAME[3]","","Parsed"
"PREFIX FIRSTNAME INIT FIRSTNAME WORD","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","","FIRSTNAME[3] WORD[4]","","Parsed"
"PREFIX FIRSTNAME INIT LN_ID LASTNAME TITLE","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","","LN_ID[3] LASTNAME[4]","TITLE[5]","Parsed"
"INIT INIT WORD","INIT[0]","","INIT[1]","","","","WORD[2]","","Parsed"
"PREFIX WORD FIRSTNAME LASTNAME SYMBOL LASTNAME","WORD[1]","","FIRSTNAME[2]","","PREFIX[0]","","LASTNAME[3] SYMBOL[4] LASTNAME[5]","","Parsed"
